年度,学科／研究科,研究室,学籍番号,賞,氏名,要旨,題目
H19,情報科学科,朝廣研,,,,,SMILを用いた索引の作成 ～情報リテラシーと離散数学III-Aグラフ理論～
H19,情報科学科,澤田研,,,,,FPGAロボットのためのIPとしての8bitCPUの実装
H19,情報科学科,松永研,,,,,車椅子走行可能経路情報取得のための道路の走行抵抗測定システムの開発
H19,情報科学科,合志研,,,,,ドライビングシミュレータ用筐体型運転装置インタフェースの改良
H19,情報科学科,古井研,,,,,iアプリを使った団塊世代向け投資情報システム
H19,情報科学科,花野井研,,,,,情景画像からの道路標識の赤色抽出方式の研究
H19,情報科学科,宮崎研,,,,,携帯電話の事業者別契約数の現状と今後の予測
H19,情報科学科,下川研,,,,,未知の無線LANアクセスポイント検知システムの開発
H19,情報科学科,安部研,,,,,最適化手法の学習・教育支援システム
H19,情報科学科,朝廣研,,,,,講義記録映像に対する索引の作成 －インターネット工学と情報技術者倫理－
H19,情報科学科,牛島研,,,,,社会保険庁・年金記録漏れ問題の原因調査と解決策の一提案
H19,情報科学科,稲永研,,,,,料理レシピ・カロリー管理システムEAT ～料理レシピ管理部の開発～
H19,情報科学科,米元研,,,,,ラベリングを用いたモーションキャプチャー
H19,情報科学科,石田健研,,,,,JAVAによるCIP法を用いた1次元電磁波伝搬シミュレータの改良
H19,情報科学科,合志研,,,,,交差点における一時停止教育用３画面ドライビングシミュレータの開発
H19,情報科学科,田中・安武研,,,,,Bluetooth搭載携帯電話によるパーソナル・エリア・ネットワークの通信性能評価
H19,情報科学科,松永研,,,,,安全運転管理教育システムASSISTにおける安全運転度評価ソフトウェアの改良と運転行動記録の解析
H19,情報科学科,合志研,,,,,助言機能を持つJavaオンラインテストの開発
H19,情報科学科,牛島研,,,,,研究室内図書管理システム
H19,情報科学科,宮崎研,,,,,情報セキュリティ講義支援ツールの改良
H19,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるJavaによる運転行動の遠隔記録ソフトウェアの開発
H19,情報科学科,一ノ瀬研,,,,,JAVAによる音響・音声信号発生プログラムの開発
H19,情報科学科,松永研,,,,,OpenCVを用いたステレオカメラによる車間距離計測ソフトウェアの開発
H19,情報科学科,朝廣研,,,,,オセロに対するAIの製作とその強さに関する調査
H19,情報科学科,澤田研,,,,,PICタイマーを用いたリアルタイム処理教育課題の検討
H19,情報科学科,宮崎研,,,,,ICカードを用いた出席調査システムの設計
H19,情報科学科,成研,,,,,外部Webサービスと連携する物品書籍管理システム
H19,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育支援のためのユーザインタフェイスおよび並列プログラム試作と評価
H19,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育支援環境のモニタリング
H19,情報科学科,古井研,,,,,動画を見ながらコメントが書ける授業支援システム
H19,情報科学科,米元研,,,,,イラストを挿入可能なカラータグに関する研究
H19,情報科学科,田中・安武研,,,,,リソース状態に応じた携帯電話網向けデータアップロードシステムの実装
H19,情報科学科,宮崎研,,,,,離散コサイン変換によるカラー画像の電子透かし
H19,情報科学科,下川研,,,,,貸与PCを対象とした自動バックアップシステムの構築
H19,情報科学科,古井研,,,,,有線放送で気になった曲の検索システム
H19,情報科学科,花野井研,,,,,道路標識認識の研究 －VBによる情景写真からの交通標識の抽出－
H19,情報科学科,廣田研,,,,,システム開発演習へのPSPの導入
H19,情報科学科,牛島研,,,,,モデル検査法を用いた信頼性の高いプログラムの作成
H19,情報科学科,坂本研,,,,,薬物代謝の基礎反応系の動態解析
H19,情報科学科,一ノ瀬研,,,,,Perl/CGIによるオンラインテストプログラムの改良
H19,情報科学科,松永研,,,,,移動効率体験型ドライビングシミュレータにおける道路の配置処理の改良
H19,情報科学科,花野井研,,,,,道路標識認識のための動画収集システムの開発
H19,情報科学科,松本研,,,,,就職活動支援システムの試作と評価
H19,情報科学科,アプドゥハン研,,,,,セマンティック・グリッドポータルのための考察
H19,情報科学科,坂本研,,,,,グルコース抑制に対する酵素反応の応答解析
H19,情報科学科,田中・安武研,,,,,汎用Bluetoothモジュールによるパーソナル・エリア・ネットワークの通信性能評価
H19,情報科学科,仲研,,,,,聴覚障がい者にも使いやすいＩＴシステムの調査
H19,情報科学科,米元研,,,,,ActionScriptを用いた色認識と動的コンテンツの変更
H19,情報科学科,石田健研,,,,,FDTD法を利用した2次元電磁波伝搬シミュレータの改良
H19,情報科学科,坂本研,,,,,RNA分解酵素群の構造比較による機能 ‐構造関係の考察
H19,情報科学科,米元研,,,,,平面図形から立体を作成するツールの開発
H19,情報科学科,松永研,,,,,Javaアプレットによる動作型KM式安全運転助言検査の開発
H19,情報科学科,松本研,,,,,UMLモデリング能力とCABテスト結果の関係性の検証
H19,情報科学科,仲研,,,,,バイオインフォマティクス用のライブラリ調査
H19,情報科学科,宮崎研,,,,,携帯電話で利用可能な画像への電子透かし方式に関する研究
H19,情報科学科,稲永研,,,,,ウェブデータベースを用いた映画鑑賞履歴管理システムの作成
H19,情報科学科,花野井研,,,,,ニューラルネットワークを利用した道路標識画像の認識の研究
H19,情報科学科,アプドゥハン研,,,,,セマンティックグリッド・リソース発見のための考察
H19,情報科学科,一ノ瀬研,,,,,音声分析変換合成プログラムSTRAIGHTによるモーフィングについて
H19,情報科学科,アプドゥハン研,,,,,車椅子使用者のための地図ナビゲーションサービス
H19,情報科学科,松本研,,,,,履修システムの試作におけるVOD技術の適用
H19,情報科学科,アプドゥハン研,,,,,セマンティックグリッドコンピューティングでのネットワークの影響の調査
H19,情報科学科,安部研,,,,,カーナビゲーションにおける経路探索の効率化と性能評価
H19,情報科学科,坂本研,,,,,遺伝子発現に対する代謝調節機能の応答特性の解析
H19,情報科学科,田中・安武研,,,,,携帯情報端末向けテキスト音声変換アプリケーションの設計と実装
H19,情報科学科,下川研,,,,,IPアドレス自動貸出情報を用いた研究時間記録支援システムの開発
H19,情報科学科,下川研,,,,,Webを用いた研究室内図書管理システムの構築
H19,情報科学科,廣田研,,,,,システム開発演習へのEVMの導入
H19,情報科学科,松本研,,,,,UMLモデリング能力とコミュニケーション能力との相関についての検証
H19,情報科学科,安部研,,,,,情報科学部時間割作成に対する実用的システムの開発
H19,情報科学科,下川研,,,,,プレゼンスサービスによる卒業研究着手時間記録システム
H19,情報科学科,米元研,,,,,顔追跡のアバター表示への応用
H19,情報科学科,安部研,,,,,民生部門におけるCO2排出量削減支援ツールの開発
H19,情報科学科,一ノ瀬研,,,,,PC及びUSBオーディオ機器のオーディオ信号入出力特性の調査
H19,情報科学科,一ノ瀬研,,,,,音響管の伝達特性の二次要素を用いた有限要素法解析プログラム
H19,情報科学科,安部研,,,,,運輸分野におけるモーダルシフトによるCO2削減方式
H19,情報科学科,牛島研,,,,,卒業研究支援のためのSNSを基盤としたwebサイトの設計と開発
H19,情報科学科,石田健研,,,,,Particle Swarm Optimization による最適解探索の検討
H19,情報科学科,一ノ瀬研,,,,,各種声道模型を用いて生成した音声信号の分析
H19,情報科学科,米元研,,,,,手書きスケッチによる3次元モデリングシステム
H19,情報科学科,古井研,,,,,個人営業のカラオケ店のための予約支援システム
H19,情報科学科,牛島研,,,,,実行時間計測のための足場プログラム　開発と適用
H19,情報科学科,松永研,,,,,iアプリによる動作型KM式安全運転助言検査システムの改良
H19,情報科学科,成研,,,,,見本提示可能な履修シミュレーション機能の開発
H19,情報科学科,仲研,,,,,生物の遺伝のシミュレーション・プログラムの調査
H19,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるC言語によるメール送信ソフトウェアの開発
H19,情報科学科,成研,,,,,JABEE対応卒業研究支援システム
H19,情報科学科,仲研,,,,,生物進化のシミュレーションプログムの調査
H19,情報科学科,澤田研,,,,,FPGAとプロセッサを組み合わせたシステム設計教育課題に関する研究
